acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-86,55,-2041,-24,24,9
-77,58,-2039,-25,20,1
-80,53,-2042,-25,22,4
-90,50,-2046,-26,26,8
-79,52,-2048,-28,23,5
-80,50,-2044,-25,23,7
-82,53,-2046,-32,21,4
-74,57,-2036,-24,25,8
-73,51,-2035,-28,24,4
-79,51,-2049,-24,23,2
-78,64,-2050,-28,19,4
-78,65,-2050,-25,25,9
-84,54,-2048,-27,24,3
-90,55,-2037,-27,24,7
-78,52,-2047,-27,21,8
-79,46,-2044,-29,23,4
-78,58,-2036,-28,24,10
-72,56,-2037,-29,26,3
-81,58,-2040,-25,19,4
-84,55,-2032,-24,24,5
-85,57,-2040,-28,23,6
-82,58,-2047,-29,22,3
-79,56,-2043,-28,19,4
-78,48,-2037,-25,21,5
-84,65,-2045,-25,22,8
-80,56,-2029,-26,21,8
-80,50,-2041,-28,25,5
-75,51,-2040,-23,23,6
-80,54,-2046,-26,24,2
-84,53,-2043,-24,23,5
-83,57,-2048,-26,25,5
-80,50,-2051,-24,24,3
-81,57,-2049,-26,22,6
-75,55,-2030,-27,24,4
-76,59,-2041,-24,28,6
-80,56,-2052,-29,22,7
-80,59,-2036,-31,21,4
-76,52,-2038,-23,24,7
-81,56,-2037,-22,25,6
-80,54,-2054,-23,20,5
-81,56,-2038,-27,24,8
-82,56,-2050,-30,22,7
-82,59,-2039,-24,21,7
-81,58,-2034,-24,21,6
-87,57,-2042,-26,21,6
-77,59,-2057,-24,21,1
-79,51,-2042,-24,24,6
-81,60,-2042,-27,22,8
-80,58,-2038,-29,24,4
-81,62,-2044,-23,25,7
-80,54,-2041,-29,21,9
-85,58,-2054,-25,22,7
-80,53,-2027,-25,23,-1
-81,47,-2038,-28,24,6
-77,57,-2048,-26,23,3
-83,51,-2043,-29,23,3
-83,59,-2039,-28,21,5
-80,58,-2035,-31,23,3
-79,52,-2044,-27,19,2
-81,47,-2046,-26,22,4
-77,55,-2044,-28,22,7
-83,61,-2028,-26,24,6
-84,47,-2048,-25,23,3
-71,50,-2046,-28,27,7
-85,56,-2042,-21,23,1
-78,56,-2038,-29,22,3
-81,46,-2032,-24,21,8
-81,62,-2043,-27,20,8
-77,57,-2028,-25,21,5
-72,52,-2049,-30,23,7
-79,55,-2037,-26,20,6
-76,52,-2044,-25,24,6
-87,59,-2042,-24,26,7
-79,44,-2044,-23,22,6
-89,47,-2038,-28,26,4
-87,53,-2044,-27,24,6
-76,59,-2038,-28,24,0
-80,60,-2034,-27,26,7
-81,60,-2039,-27,26,7
-79,64,-2057,-27,22,6
-88,55,-2044,-30,22,6
-80,55,-2046,-25,21,4
-88,60,-2042,-27,23,5
-83,56,-2039,-24,21,8
-87,58,-2036,-26,19,4
-77,55,-2050,-28,22,6
-82,51,-2043,-26,21,8
-77,51,-2053,-30,25,1
-79,57,-2048,-25,18,6
-79,56,-2043,-28,22,5
-83,64,-2049,-29,27,3
-80,53,-2041,-27,25,3
-80,51,-2047,-24,25,3
-78,45,-2043,-26,24,2
-88,54,-2051,-26,27,7
-79,55,-2043,-26,24,7
-84,58,-2051,-24,18,7
-80,60,-2038,-30,24,7
-78,50,-2045,-26,26,7
-79,54,-2046,-29,22,7
-74,58,-2044,-24,22,9
-82,65,-2035,-28,21,7
-85,51,-2043,-27,21,3
-80,60,-2036,-25,22,6
-86,59,-2043,-26,26,6
-83,55,-2053,-27,26,2
-84,56,-2048,-29,24,8
-88,54,-2058,-27,25,4
-88,54,-2043,-26,24,5
-79,59,-2042,-27,25,4
-83,58,-2047,-27,24,6
-76,50,-2050,-27,19,6
-84,54,-2058,-23,24,5
-83,54,-2045,-28,19,4
-80,53,-2047,-27,21,4
-84,62,-2044,-24,22,6
-81,56,-2055,-29,23,3
-84,59,-2048,-27,20,6
-84,51,-2045,-28,25,-2
-77,58,-2045,-25,20,4
-81,54,-2042,-25,23,4
-80,57,-2037,-29,25,7
-76,60,-2041,-27,26,6
-79,69,-2050,-22,22,9
-76,54,-2049,-26,23,7
-82,60,-2041,-25,19,5
-76,55,-2040,-24,25,4
-81,54,-2051,-28,25,2
-84,52,-2026,-23,18,4
-78,64,-2031,-24,27,5
-84,60,-2049,-25,21,4
-85,53,-2041,-27,24,5
-90,53,-2046,-25,22,1
-82,58,-2038,-26,20,8
-83,64,-2039,-25,22,8
-77,52,-2052,-26,25,2
-82,53,-2034,-26,25,5
-83,49,-2053,-28,24,2
-78,59,-2053,-29,23,7
-79,51,-2050,-28,24,7
-79,52,-2037,-27,26,3
-84,59,-2037,-23,24,5
-82,60,-2040,-26,23,3
-82,57,-2043,-27,21,4
-89,52,-2048,-24,25,7
-82,46,-2036,-24,23,2
-86,59,-2039,-29,23,10
-79,56,-2044,-26,21,8
-83,51,-2051,-27,22,8
-83,60,-2037,-25,20,5
-81,50,-2040,-29,22,4
-86,56,-2050,-21,25,7
-74,56,-2045,-24,20,5
-84,65,-2050,-25,21,3
-79,56,-2032,-27,24,9
-75,60,-2049,-27,24,9
-76,56,-2053,-27,23,3
-79,57,-2059,-25,19,8
-86,57,-2034,-28,24,6
-83,57,-2039,-25,24,7
-70,61,-2053,-25,21,5
-86,49,-2047,-23,20,4
-75,46,-2034,-25,25,7
-82,59,-2040,-31,26,1
-76,58,-2036,-23,20,5
-82,62,-2040,-25,20,2
-81,60,-2038,-25,21,5
